,feature_size,test_accuracy,test_std,train_accuracy,train_std
"('YCrCb', '[0, 1]', 8, 16, 2)",7088,0.9944393085208414,0.0006974161586979252,1.0,0.0
"('LUV', '[0, 1]', 4, 16, 2)",29616,0.9942978280283177,0.0007572303608473105,1.0,0.0
"('LUV', '[0, 1]', 4, 16, 1)",9008,0.9942270877820558,0.0008379709509615746,1.0,0.0
"('LUV', '[0, 1]', 16, 16, 2)",1968,0.9940166534131256,0.0006995249619572898,1.0,0.0
"('LUV', '[0, 1]', 8, 16, 2)",7088,0.9939467071090216,0.0010781960311024177,1.0,0.0
"('LUV', '[0, 1]', 16, 16, 3)",1968,0.9939453177102455,0.0008401744664410876,1.0,0.0
"('LUV', '[0, 1]', 8, 16, 1)",2864,0.9938050281309585,0.0006639797077880371,1.0,0.0
"('LUV', '[0, 1]', 8, 16, 3)",11184,0.9936655324938295,0.0012781961470843776,1.0,0.0
"('YCrCb', '[0, 1]', 8, 16, 1)",2864,0.9935234565446875,0.0014504087340226493,1.0,0.0
"('YCrCb', '[0, 1]', 8, 16, 3)",11184,0.9933833654509401,0.0011326504570161385,1.0,0.0
"('LUV', '[0, 1]', 4, 16, 3)",57264,0.9932412895017981,0.0016576153994850929,1.0,0.0
"('LUV', '[0, 1]', 16, 16, 1)",1328,0.9930318475605651,0.0007216029760408628,1.0,0.0
"('LUV', '[0, 1]', 4, 8, 1)",4912,0.9930304581617888,0.0008114605287318563,1.0,0.0
"('YCrCb', '[0, 1]', 4, 16, 2)",29616,0.9930296642196311,0.0012899151532265545,1.0,0.0
"('LUV', '[0, 1]', 8, 8, 2)",3952,0.992819825307319,0.001509202797537401,1.0,0.0
"('YCrCb', '[0, 1]', 16, 16, 2)",1968,0.9926797342135718,0.0009909544404758692,1.0,0.0
"('LUV', '[0, 1]', 8, 8, 1)",1840,0.9926101848805466,0.0017343564123419408,1.0,0.0
"('YCrCb', '[0, 1]', 4, 16, 1)",9008,0.9926080015396126,0.0015242934897646456,1.0,0.0
"('LUV', '[0, 1]', 8, 8, 3)",6000,0.9922572775913955,0.0017831764873561674,1.0,0.0
"('YCrCb', '[0, 1]', 8, 8, 2)",3952,0.9921869343162126,0.0017136392960901935,1.0,0.0
"('YCrCb', '[0, 1]', 4, 8, 1)",4912,0.9921849494608179,0.0019503708511511475,1.0,0.0
"('LUV', '[0, 1]', 4, 8, 2)",15216,0.992115003156714,0.0015598938348552443,1.0,0.0
"('YCrCb', '[0, 1]', 4, 16, 3)",57264,0.9919735226641904,0.0016088969843586684,1.0,0.0
"('YCrCb', '[0, 1]', 16, 16, 1)",1328,0.9918344239981403,0.000199210462327647,1.0,0.0
"('LUV', '[0, 1]', 16, 8, 2)",1392,0.9918342255126009,0.0015032716660046772,1.0,0.0
"('YCrCb', '[0, 1]', 16, 16, 3)",1968,0.9918332330849035,0.001063951434086466,1.0,0.0
"('YCrCb', '[0, 1]', 8, 8, 3)",6000,0.9915512645275536,0.0023946660976690783,1.0,0.0
"('LUV', '[0, 1]', 4, 8, 3)",29040,0.9914817151945285,0.0020166641847727718,1.0,0.0
"('LUV', '[0, 1]', 16, 8, 3)",1392,0.9913426165284784,0.0016044256158394689,1.0,0.0
"('YCrCb', '[0, 1]', 4, 8, 2)",15216,0.9909883198405509,0.0013461116348867511,1.0,0.0
"('YCrCb', '[0, 1]', 4, 8, 3)",29040,0.9905664586749932,0.0011768464326960507,1.0,0.0
"('YCrCb', '[0, 1]', 8, 8, 1)",1840,0.9904271615234035,0.0011556944801905473,1.0,0.0
"('LUV', '[0, 1]', 16, 8, 1)",1072,0.9898618350099274,0.0015539211072422394,1.0,0.0
